name,id,seed,gamma,model,pooling,momentum,patience,drop_prob,num_views,optimizer,scheduler,step_size,task_name,batch_size,hidden_dim,num_epochs,view_index,enable_wandb,detailed_logs,learning_rate,use_scheduler,_runtime,_step,_timestamp,dev_accuracy,dev_auroc,dev_f1_score,dev_loss,test_accuracy,test_auroc,test_f1_score,test_npv,test_positives,test_precision,test_recall,test_samples,test_specificity,train_loss,_wandb.runtime
cerulean-sweep-1692,hyitdfng,20055,0.1,VideoPrism,mean,0.9,3,0.3779782225415847,4,AdamW,reduce,6,sustained_phonation_a,256,768,48,-1,True,False,0.003733389539205608,no,24,48,1770442422.7013116,0.7896678966789668,0.8483591777857916,0.7135678391959799,0.47816452526958225,0.724,0.8001102941176471,0.5818181818181818,0.806060606060606,80,0.5647058823529412,0.6,250,0.7823529411764706,0.2960021867248717,24
genial-sweep-2944,unccq4vi,37124,0.1,VideoPrism,mean,0.9,4,0.25975827372801535,4,AdamW,reduce,4,sustained_phonation_a,256,1024,195,-1,True,False,0.001729672113001041,no,80,195,1770544021.2838376,0.7638376383763837,0.8458949392955885,0.6767676767676768,0.500427235096583,0.712,0.7811029411764706,0.5662650602409639,0.7987804878048781,80,0.5465116279069767,0.5875,250,0.7705882352941177,0.3949125016723399,80
devoted-sweep-3305,0ows1f2w,22185,0.1,VideoPrism,mean,0.9,5,0.28958044132406147,4,AdamW,step,4,sustained_phonation_a,256,1024,183,-1,True,False,0.005158850157834503,no,63,183,1770574033.257519,0.7638376383763837,0.8448130784950113,0.6981132075471698,0.5020849058109016,0.74,0.8059558823529411,0.6486486486486487,0.8620689655172413,80,0.5714285714285714,0.75,250,0.7352941176470589,0.2353859163744631,63
azure-sweep-946,mrfnaft8,41052,0.1,VideoPrism,mean,0.9,3,0.3189605936204867,4,AdamW,reduce,6,sustained_phonation_a,256,1024,196,-1,True,False,0.0045044363664342845,no,73,196,1770382097.564215,0.7712177121771218,0.8445125616059622,0.693069306930693,0.47978920338338593,0.752,0.8015441176470588,0.6309523809523809,0.8333333333333334,80,0.6022727272727273,0.6625,250,0.7941176470588235,0.3877045998305387,73
twilight-sweep-283,f2gjzw39,5372,0.1,VideoPrism,mean,0.9,3,0.3565019476744141,4,AdamW,reduce,8,sustained_phonation_a,256,1024,134,-1,True,False,0.004596362799789305,no,57,134,1770326386.8554022,0.7638376383763837,0.8443923548503425,0.673469387755102,0.5018474666394871,0.74,0.7910294117647059,0.6153846153846154,0.8260869565217391,80,0.5842696629213483,0.65,250,0.7823529411764706,0.2187673840904344,57
mild-sweep-1225,mvy7qk6t,63476,0.1,VideoPrism,mean,0.9,3,0.34026417341409815,4,AdamW,step,7,sustained_phonation_a,256,1024,189,-1,True,False,0.0007041469565551521,no,67,189,1770404886.106388,0.7749077490774908,0.8438213727611492,0.6965174129353234,0.5011654632557803,0.728,0.7978676470588235,0.6091954022988506,0.8269230769230769,80,0.5638297872340425,0.6625,250,0.7588235294117647,0.34488058803977273,67
bumbling-sweep-1464,1u9qosk0,35631,0.1,VideoPrism,mean,0.9,4,0.2657891708863845,4,AdamW,reduce,9,sustained_phonation_a,256,768,146,-1,True,False,0.0014209807626259674,no,53,146,1770423961.6720138,0.7712177121771218,0.8433705974275755,0.696078431372549,0.4907070897602067,0.76,0.7999264705882351,0.6629213483146067,0.8618421052631579,80,0.6020408163265306,0.7375,250,0.7705882352941177,0.2983447529806858,53
playful-sweep-1667,2zex31g8,24147,0.1,VideoPrism,mean,0.9,4,0.43146079321734154,4,AdamW,reduce,10,sustained_phonation_a,256,768,161,-1,True,False,0.0012518595399537123,no,62,161,1770440420.853155,0.7712177121771218,0.8431902872941459,0.693069306930693,0.4857800127835291,0.744,0.8075,0.627906976744186,0.8354430379746836,80,0.5869565217391305,0.675,250,0.7764705882352941,0.3297725828971278,62
eternal-sweep-2600,shqb1kp1,30398,0.1,VideoPrism,mean,0.9,5,0.3133802119156158,4,AdamW,reduce,7,sustained_phonation_a,256,1024,127,-1,True,False,0.0016559213784818427,no,58,127,1770516298.7463768,0.7785977859778598,0.842078374804664,0.7029702970297029,0.5148617348107905,0.752,0.8011764705882353,0.6630434782608695,0.8698630136986302,80,0.5865384615384616,0.7625,250,0.7470588235294118,0.2388012299100603,58
stoic-sweep-2963,2ms6walj,17135,0.1,VideoPrism,mean,0.9,5,0.4124145062755285,4,AdamW,reduce,9,sustained_phonation_a,256,768,159,-1,True,False,0.0015114968294096369,no,53,159,1770545487.8925395,0.7638376383763837,0.8419281163601394,0.6831683168316832,0.4964801820881693,0.752,0.8025,0.6352941176470588,0.8375,80,0.6,0.675,250,0.788235294117647,0.358718249773465,53
